,Titre
0,Reservoir Dogs
1,Iron Monkey
2,True Romance
3,Natural Born Killers
4,Pulp Fiction
5,Destiny Turns on the Radio
6,Four Rooms
7,Curdled
8,From Dusk Till Dawn
9,"God Said, 'Ha!'"
10,Jackie Brown
11,Kill Bill: Vol. 1
12,The Anatomy of Horror
13,My Best Friend's Birthday
14,Inglourious Basterds
15,Kill Bill: Vol. 2
16,Sin City
17,The Muppets' Wizard of Oz
18,Grindhouse
19,Sukiyaki Western Django
20,Death Proof
21,Django/Zorro
22,Planet Terror
23,Corman's World: Exploits of a Hollywood Rebel
24,Hollywood Don't Surf!
25,Django & Django
26,Kill Bill: Vol. 3
27,Django Unchained
28,Bar25
29,The Glance of Music
30,The Hateful Eight
31,American Badass: A Michael Madsen Retrospective
32,Kill Bill: The Whole Bloody Affair
33,John Travolta: RÃ¼ckkehr nach Hollywood
34,Once Upon a Time... In Hollywood
35,Cinefile: You Talkin' to Me?
